Event Number,Start Year,End Year,Start Fractional Day,End Fractional Day,Start Hour,End Hour,Elements Decaying,Non-Decaying Elements,Decay Type,Best Log-Y R-value,Best Log-Log R-value,Best Log-Y Window Times,Best Log-Log Window Times
1,1998,1998,26.874988425925924,30.25,20.999722222222225,6.0,1,"['Si', 'Fe', 'N', 'C', 'O']",Irregular Decay,-0.8361952641959649,-0.8137684995300424,"(Timestamp('1998-01-28 05:59:59.866078'), Timestamp('1998-01-30 06:00:00.116640'))","(Timestamp('1998-01-28 09:00:00.000001'), Timestamp('1998-01-30 08:59:59.935199'))"
8,1998,1998,100.25,105.37498842592592,6.0,8.999722222222221,1,"['Si', 'Fe', 'N', 'C', 'O']",Exponential Decay,-0.9699206417214571,-0.9186751064740504,"(Timestamp('1998-04-10 12:00:00.008637'), Timestamp('1998-04-14 09:00:00.060481'))","(Timestamp('1998-04-11 09:00:00.000002'), Timestamp('1998-04-15 06:00:00.051840'))"
11,1998,1998,112.0416550925926,118.62498842592592,0.9997222222222222,14.99972222222222,6,[],Exponential Decay,-0.9942292560958041,-0.9212254906055074,"(Timestamp('1998-04-22 05:00:00.148317'), Timestamp('1998-04-27 13:00:00.080643'))","(Timestamp('1998-04-23 16:00:00.028798'), Timestamp('1998-04-28 23:59:59.961116'))"
12,1998,1998,120.16666666666669,126.2916550925926,4.0,6.999722222222222,6,[],Irregular Decay,-0.5119605776699725,-0.242236319568724,"(Timestamp('1998-05-01 16:59:59.919359'), Timestamp('1998-05-06 08:00:00.143997'))","(Timestamp('1998-05-01 16:59:59.919359'), Timestamp('1998-05-06 08:00:00.143997'))"
13,1998,1998,126.37498842592592,129.24998842592595,8.999722222222221,5.999722222222222,6,[],Exponential Decay,-0.9903945771758933,-0.9326169889403659,"(Timestamp('1998-05-06 18:59:59.899197'), Timestamp('1998-05-08 19:00:00.149759'))","(Timestamp('1998-05-07 05:59:59.969761'), Timestamp('1998-05-09 05:59:59.904959'))"
14,1998,1998,129.70832175925926,136.08332175925926,16.999722222222225,1.9997222222222224,6,[],Exponential Decay,-0.9818817324710388,-0.9325993634651049,"(Timestamp('1998-05-10 09:59:59.998560'), Timestamp('1998-05-14 16:00:00.136801'))","(Timestamp('1998-05-10 11:00:00.148323'), Timestamp('1998-05-14 16:59:59.971200'))"
15,1998,1998,136.25,139.04166666666666,6.0,1.0,1,"['Si', 'Fe', 'N', 'C', 'O']",Irregular Decay,-0.6485245651950412,-0.551930793220338,"(Timestamp('1998-05-17 03:00:00.142556'), Timestamp('1998-05-19 01:00:00.093601'))","(Timestamp('1998-05-17 03:00:00.142556'), Timestamp('1998-05-19 01:00:00.093601'))"
16,1998,1998,140.54166666666666,147.45833333333334,13.0,11.0,1,"['Si', 'Fe', 'N', 'C', 'O']",Irregular Decay,-0.8949143288237995,-0.7744329552042539,"(Timestamp('1998-05-21 03:00:00.012960'), Timestamp('1998-05-26 03:59:59.843042'))","(Timestamp('1998-05-21 14:59:59.917922'), Timestamp('1998-05-26 16:00:00.063361'))"
17,1998,1998,147.70833333333334,151.41666666666666,17.0,10.0,2,"['Si', 'C', 'Fe', 'N']",Exponential Decay,-0.9531498571389098,-0.9076459477137587,"(Timestamp('1998-05-28 21:00:00.116642'), Timestamp('1998-05-31 08:59:59.956802'))","(Timestamp('1998-05-29 07:00:00.037436'), Timestamp('1998-05-31 18:59:59.877597'))"
19,1998,1998,155.83332175925926,158.875,19.999722222222225,21.0,1,"['Si', 'Fe', 'N', 'C', 'O']",Irregular Decay,-0.8996976799015493,-0.8837082207618586,"(Timestamp('1998-06-05 16:00:00.054722'), Timestamp('1998-06-07 21:59:59.942401'))","(Timestamp('1998-06-05 23:59:59.991357'), Timestamp('1998-06-08 05:59:59.879043'))"
20,1998,1998,161.58333333333334,164.33332175925926,14.0,7.999722222222222,1,"['Si', 'Fe', 'N', 'C', 'O']",Irregular Decay,-0.4588483954757203,-0.599462276661102,"(Timestamp('1998-06-11 05:00:00.105116'), Timestamp('1998-06-13 07:00:00.024482'))","(Timestamp('1998-06-11 05:00:00.105116'), Timestamp('1998-06-13 07:00:00.024482'))"
23,1998,1998,168.83332175925926,173.37498842592595,19.999722222222225,8.999722222222221,4,"['Si', 'Fe']",Exponential Decay,-0.9483506573812552,-0.8956134599577339,"(Timestamp('1998-06-18 16:59:59.940961'), Timestamp('1998-06-21 17:00:00.001440'))","(Timestamp('1998-06-18 16:00:00.106563'), Timestamp('1998-06-21 15:59:59.851678'))"
25,1998,1998,177.75,182.04166666666663,18.0,1.0,1,"['Si', 'Fe', 'N', 'C', 'O']",Irregular Decay,-0.4620491392680734,-0.42532389717207464,"(Timestamp('1998-06-28 05:00:00.027360'), Timestamp('1998-06-30 21:00:00.151198'))","(Timestamp('1998-06-28 05:00:00.027360'), Timestamp('1998-06-30 21:00:00.151198'))"
