Event Number,Start Year,End Year,Start Fractional Day,End Fractional Day,Start Hour,End Hour,Elements Decaying,Non-Decaying Elements,Decay Type,Best Log-Y R-value,Best Log-Log R-value,Best Log-Y Window Times,Best Log-Log Window Times
1,1998,1998,110.12498842592592,118.62498842592592,2.999722222222222,14.99972222222222,6,[],Exponential Decay,-0.9864049495975986,-0.9200682476069065,"(Timestamp('1998-04-21 16:00:00.093600'), Timestamp('1998-04-28 08:59:59.922239'))","(Timestamp('1998-04-22 11:59:59.935196'), Timestamp('1998-04-29 05:00:00.079199'))"
2,1998,1998,118.95833333333331,126.2916550925926,23.0,6.999722222222222,6,[],Irregular Decay,-0.426558843853379,-0.14361538876312593,"(Timestamp('1998-05-01 08:59:59.982718'), Timestamp('1998-05-06 08:00:00.143997'))","(Timestamp('1998-05-01 08:59:59.982718'), Timestamp('1998-05-06 08:00:00.143997'))"
3,1998,1998,126.08332175925926,129.24998842592595,1.9997222222222224,5.999722222222222,4,"['N', 'Si']",Exponential Decay,-0.991403842546398,-0.909827593194559,"(Timestamp('1998-05-06 10:00:00.128157'), Timestamp('1998-05-08 21:00:00.133919'))","(Timestamp('1998-05-06 20:00:00.048959'), Timestamp('1998-05-09 07:00:00.054721'))"
4,1998,1998,128.45832175925926,136.08332175925926,10.99972222222222,1.9997222222222224,6,[],Exponential Decay,-0.9757853665784888,-0.956159647510155,"(Timestamp('1998-05-10 06:00:00.030240'), Timestamp('1998-05-15 15:00:00.112320'))","(Timestamp('1998-05-10 00:00:00.077759'), Timestamp('1998-05-15 08:59:59.844483'))"
5,1998,1998,168.83332175925926,173.37498842592595,19.999722222222225,8.999722222222221,4,"['Si', 'Fe']",Exponential Decay,-0.9483506573812552,-0.8956134599577339,"(Timestamp('1998-06-18 16:59:59.940961'), Timestamp('1998-06-21 17:00:00.001440'))","(Timestamp('1998-06-18 16:00:00.106563'), Timestamp('1998-06-21 15:59:59.851678'))"
6,1998,1998,235.83333333333331,244.66666666666663,20.0,16.0,6,[],Exponential Decay,-0.9756118906253032,-0.9295699719368797,"(Timestamp('1998-08-26 15:00:00.086399'), Timestamp('1998-09-02 01:59:59.962557'))","(Timestamp('1998-08-26 04:59:59.850240'), Timestamp('1998-09-01 16:00:00.041762'))"
7,1998,1998,272.8749884259259,285.08332175925926,20.999722222222225,1.9997222222222224,6,[],Exponential Decay,-0.9834989153245349,-0.9291982630218506,"(Timestamp('1998-09-30 17:59:59.874719'), Timestamp('1998-10-09 06:00:00.151201'))","(Timestamp('1998-10-01 04:00:00.110877'), Timestamp('1998-10-09 16:00:00.072002'))"
8,1998,1998,309.6666550925926,316.83332175925926,15.99972222222222,19.999722222222225,5,['Fe'],Exponential Decay,-0.975273266893881,-0.9525815363240087,"(Timestamp('1998-11-06 18:00:00.095042'), Timestamp('1998-11-12 04:59:59.845919'))","(Timestamp('1998-11-08 02:59:59.991362'), Timestamp('1998-11-13 14:00:00.057596'))"
9,1998,1998,316.7916666666667,326.2916666666667,19.0,7.0,6,[],Exponential Decay,-0.9763744548583712,-0.8965326776042426,"(Timestamp('1998-11-14 18:59:59.985596'), Timestamp('1998-11-22 00:59:59.868959'))","(Timestamp('1998-11-15 02:00:00.087839'), Timestamp('1998-11-22 07:59:59.971203'))"
10,1999,1999,22.291655092592592,32.37498842592593,6.999722222222222,8.999722222222221,4,"['Si', 'Fe']",Exponential Decay,-0.9892413053188653,-0.9113034687379565,"(Timestamp('1999-01-23 07:59:59.854562'), Timestamp('1999-01-30 21:59:59.989916'))","(Timestamp('1999-01-25 01:00:00.002880'), Timestamp('1999-02-01 15:00:00.138242'))"
