Event Number,Start Year,End Year,Start Fractional Day,End Fractional Day,Start Hour,End Hour,Elements Decaying,Non-Decaying Elements
1,1998,1998,26.874988425925924,30.25,20.999722222222225,6.0,1,"['Fe', 'C', 'Si', 'O', 'N']"
8,1998,1998,100.25,105.37498842592592,6.0,8.999722222222221,1,"['Fe', 'C', 'Si', 'O', 'N']"
10,1998,1998,106.87498842592592,109.375,20.999722222222225,9.0,1,"['Fe', 'C', 'Si', 'O', 'N']"
11,1998,1998,111.58333333333333,118.62498842592592,14.0,14.999722222222221,6,[]
12,1998,1998,119.41665509259259,126.29165509259259,9.999722222222221,6.999722222222222,6,[]
13,1998,1998,126.16665509259259,129.24998842592595,3.999722222222222,5.999722222222222,4,"['Si', 'N']"
14,1998,1998,128.79166666666666,136.08332175925926,19.0,1.9997222222222222,6,[]
15,1998,1998,136.08332175925926,139.04166666666666,1.9997222222222222,1.0,1,"['Fe', 'C', 'Si', 'O', 'N']"
16,1998,1998,138.66666666666666,147.45833333333334,16.0,11.0,1,"['Fe', 'C', 'Si', 'O', 'N']"
17,1998,1998,147.49998842592595,151.41666666666666,11.999722222222221,10.0,1,"['Fe', 'C', 'Si', 'O', 'N']"
19,1998,1998,155.20832175925926,158.875,4.999722222222222,21.0,1,"['Fe', 'C', 'Si', 'O', 'N']"
20,1998,1998,161.37498842592595,164.33332175925926,8.999722222222221,7.999722222222222,1,"['Fe', 'C', 'Si', 'O', 'N']"
23,1998,1998,167.58332175925926,173.37498842592595,13.999722222222221,8.999722222222221,4,"['Si', 'Fe']"
25,1998,1998,177.49998842592595,182.04166666666666,11.999722222222221,1.0,1,"['Fe', 'C', 'Si', 'O', 'N']"
27,1998,1998,184.7916550925926,188.95833333333334,18.999722222222225,23.0,1,"['Fe', 'C', 'Si', 'O', 'N']"
31,1998,1998,205.20833333333334,207.75,5.0,18.0,1,"['Fe', 'C', 'Si', 'O', 'N']"
